Match_ID,Event,Year,Date,Team 1,Team 2,Match Format,Maps Picked/Banned,Score per Map,Score per Half,Sides Chosen by Non-Picker
40,Champions Tour 2023: Pacific League,2023,2023-04-02 08:30:00,Gen.G,DetonatioN FocusMe,Bo3,DFM ban Icebox; GEN ban Split; DFM pick Lotus; GEN pick Fracture; DFM ban Ascent; GEN ban Haven; Pearl remains,Lotus: 13-8; Fracture: 4-13; Pearl: 13-8,"Team 1: 5 / 8, Team 2: 7 / 1; Team 1: 0 / 4, Team 2: 5 / 8; Team 1: 8 / 5, Team 2: 1 / 7",Team 1: Attack; Team 2: Attack
41,Champions Tour 2023: Pacific League,2023,2023-04-03 05:00:00,Global Esports,DRX,Bo3,DRX ban Lotus; GE ban Ascent; DRX pick Haven; GE pick Split; DRX ban Fracture; GE ban Icebox; Pearl remains,Haven: 11-13; Split: 15-17,"Team 1: 5 / 6, Team 2: 7 / 6; Team 1: 6 / 6 / 3, Team 2: 6 / 6 / 5",Team 1: Attack; Team 2: Defense
42,Champions Tour 2023: Pacific League,2023,2023-04-08 05:00:00,Rex Regum Qeon,DetonatioN FocusMe,Bo3,RRQ ban Lotus; DFM ban Icebox; RRQ pick Haven; DFM pick Pearl; RRQ ban Fracture; DFM ban Split; Ascent remains,Haven: 13-4; Pearl: 13-7,"Team 1: 3 / 10, Team 2: 2 / 2; Team 1: 4 / 9, Team 2: 4 / 3",Team 2: Attack; Team 1: Defense
43,Champions Tour 2023: Pacific League,2023,2023-04-08 07:10:00,T1,Paper Rex,Bo3,T1 ban Icebox; PRX ban Haven; T1 pick Pearl; PRX pick Fracture; T1 ban Ascent; PRX ban Split; Lotus remains,Pearl: 3-13; Fracture: 6-13,"Team 1: 2 / 1, Team 2: 2 / 11; Team 1: 1 / 5, Team 2: 6 / 7",Team 2: Attack; Team 1: Defense
44,Champions Tour 2023: Pacific League,2023,2023-04-09 05:00:00,ZETA DIVISION,Global Esports,Bo3,GE ban Fracture; ZETA ban Split; GE pick Pearl; ZETA pick Ascent; GE ban Icebox; ZETA ban Lotus; Haven remains,Pearl: 9-13; Ascent: 14-12; Haven: 13-8,"Team 1: 3 / 6, Team 2: 9 / 4; Team 1: 5 / 7 / 2, Team 2: 7 / 5 / 0; Team 1: 5 / 8, Team 2: 4 / 4",Team 1: Attack; Team 2: Defense
45,Champions Tour 2023: Pacific League,2023,2023-04-09 08:45:00,Talon Esports,DRX,Bo3,TLN ban Haven; DRX ban Lotus; TLN pick Split; DRX pick Pearl; TLN ban Fracture; DRX ban Icebox; Ascent remains,Split: 3-13; Pearl: 10-13,"Team 1: 1 / 2, Team 2: 11 / 2; Team 1: 5 / 5, Team 2: 7 / 6",Team 2: Defense; Team 1: Attack
46,Champions Tour 2023: Pacific League,2023,2023-04-10 05:00:00,Team Secret,Gen.G,Bo3,GEN ban Icebox; TS ban Pearl; GEN pick Haven; TS pick Fracture; GEN ban Ascent; TS ban Split; Lotus remains,Haven: 8-13; Fracture: 11-13,"Team 1: 3 / 5, Team 2: 6 / 7; Team 1: 5 / 6, Team 2: 7 / 6",Team 1: Defense; Team 2: Attack
47,Champions Tour 2023: Pacific League,2023,2023-04-15 05:00:00,Paper Rex,DRX,Bo3,DRX ban Lotus; PRX ban Haven; DRX pick Ascent; PRX pick Split; DRX ban Pearl; PRX ban Icebox; Fracture remains,Ascent: 5-13; Split: 10-13,"Team 1: 2 / 3, Team 2: 4 / 9; Team 1: 5 / 5, Team 2: 7 / 6",Team 1: Defense; Team 2: Defense
48,Champions Tour 2023: Pacific League,2023,2023-04-15 07:40:00,Team Secret,Rex Regum Qeon,Bo3,TS ban Pearl; RRQ ban Lotus; TS pick Icebox; RRQ pick Split; TS ban Ascent; RRQ ban Fracture; Haven remains,Icebox: 10-13; Split: 7-13,"Team 1: 5 / 5, Team 2: 7 / 6; Team 1: 5 / 2, Team 2: 3 / 10",Team 2: Defense; Team 1: Defense
49,Champions Tour 2023: Pacific League,2023,2023-04-16 05:00:00,T1,Gen.G,Bo3,T1 ban Pearl; GEN ban Icebox; T1 pick Ascent; GEN pick Haven; T1 ban Split; GEN ban Fracture; Lotus remains,Ascent: 5-13; Haven: 5-13,"Team 1: 3 / 2, Team 2: 9 / 4; Team 1: 0 / 5, Team 2: 6 / 7",Team 2: Defense; Team 1: Defense
50,Champions Tour 2023: Pacific League,2023,2023-04-16 07:15:00,ZETA DIVISION,DetonatioN FocusMe,Bo3,ZETA ban Lotus; DFM ban Split; ZETA pick Ascent; DFM pick Haven; ZETA ban Fracture; DFM ban Icebox; ZETA ban Pearl,Ascent: 13-9; Haven: 13-5,"Team 1: 10 / 3, Team 2: 2 / 7; Team 1: 9 / 4, Team 2: 3 / 2",Team 2: Defense; Team 1: Attack
51,Champions Tour 2023: Pacific League,2023,2023-04-17 05:00:00,Talon Esports,Global Esports,Bo3,GE ban Fracture; TLN ban Pearl; GE pick Split; TLN pick Icebox; GE ban Ascent; TLN ban Lotus; Haven remains,Split: 6-13; Icebox: 11-13,"Team 1: 3 / 3, Team 2: 9 / 4; Team 1: 6 / 5, Team 2: 6 / 7",Team 1: Attack; Team 2: Defense
52,Champions Tour 2023: Pacific League,2023,2023-04-22 04:00:00,Paper Rex,Global Esports,Bo3,PRX ban Haven; GE ban Fracture; PRX pick Icebox; GE pick Split; PRX ban Ascent; GE ban Lotus; Pearl remains,Icebox: 7-13; Split: 13-6; Pearl: 13-7,"Team 1: 6 / 1, Team 2: 6 / 7; Team 1: 9 / 4, Team 2: 3 / 3; Team 1: 8 / 5, Team 2: 4 / 3",Team 2: Defense; Team 1: Attack
53,Champions Tour 2023: Pacific League,2023,2023-04-22 07:30:00,Gen.G,DRX,Bo3,GEN ban Icebox; DRX ban Lotus; GEN pick Haven; DRX pick Fracture; GEN ban Ascent; DRX ban Split; Pearl remains,Haven: 7-13; Fracture: 13-10; Pearl: 4-13,"Team 1: 6 / 1, Team 2: 2 / 11; Team 1: 6 / 7, Team 2: 6 / 4; Team 1: 3 / 1, Team 2: 9 / 4",Team 2: Attack; Team 1: Attack
54,Champions Tour 2023: Pacific League,2023,2023-04-23 04:00:00,T1,Rex Regum Qeon,Bo3,RRQ ban Lotus; T1 ban Split; RRQ pick Haven; T1 pick Fracture; RRQ ban Icebox; T1 ban Ascent; Pearl remains,Haven: 13-9; Fracture: 13-4,"Team 1: 7 / 6, Team 2: 5 / 4; Team 1: 9 / 4, Team 2: 3 / 1",Team 1: Attack; Team 2: Defense
55,Champions Tour 2023: Pacific League,2023,2023-04-23 06:20:00,Team Secret,DetonatioN FocusMe,Bo3,DFM ban Icebox; TS ban Lotus; DFM pick Ascent; TS pick Haven; DFM ban Split; TS ban Pearl; Fracture remains,Ascent: 13-11; Haven: 13-8,"Team 1: 6 / 7, Team 2: 6 / 5; Team 1: 4 / 9, Team 2: 5 / 3",Team 1: Attack; Team 2: Attack
