Match ID,Team X,Team Y,Team A,Team B,Map Name,Team X Score,Team Y Score,Team X Attack Rounds,Team X Defense Rounds,Team X Overtime Rounds,Team Y Attack Rounds,Team Y Defense Rounds,Team Y Overtime Rounds,Map Index,Side Picker,Side Picked,Overtime,Map Winner,Score Difference,Total Rounds Played,Map Picker,Team X Halftime Score,Team Y Halftime Score,Halftime Lead
18,Team Vitality,Global Esports,Global Esports,Team Vitality,Lotus,13,6,8,5,0,2,4,0,3,Global Esports,Defense,0,Team Vitality,7,19,,8,4,4
19,Rex Regum Qeon,FUT Esports,Rex Regum Qeon,FUT Esports,Lotus,3,13,2,1,0,3,10,0,1,FUT Esports,Defense,0,FUT Esports,-10,16,Rex Regum Qeon,2,10,-8
19,FUT Esports,Rex Regum Qeon,Rex Regum Qeon,FUT Esports,Pearl,13,11,8,5,0,7,4,0,2,Rex Regum Qeon,Attack,0,FUT Esports,2,24,FUT Esports,5,7,-2
20,100 Thieves,EDward Gaming,100 Thieves,EDward Gaming,Icebox,13,10,5,8,0,4,6,0,1,EDward Gaming,Attack,0,100 Thieves,3,23,100 Thieves,8,4,4
20,EDward Gaming,100 Thieves,100 Thieves,EDward Gaming,Lotus,13,9,8,5,0,7,2,0,2,100 Thieves,Attack,0,EDward Gaming,4,22,EDward Gaming,5,7,-2
20,EDward Gaming,100 Thieves,100 Thieves,EDward Gaming,Pearl,12,14,5,7,0,5,7,2,3,100 Thieves,Attack,1,100 Thieves,-2,26,,7,5,2
21,FNATIC,Sentinels,FNATIC,Sentinels,Haven,13,6,4,9,0,3,3,0,1,Sentinels,Attack,0,FNATIC,7,19,FNATIC,9,3,6
21,Sentinels,FNATIC,FNATIC,Sentinels,Split,7,13,6,1,0,7,6,0,2,FNATIC,Defense,0,FNATIC,-6,20,Sentinels,6,6,0
22,T1,FURIA,T1,FURIA,Pearl,7,13,1,6,0,6,7,0,1,FURIA,Attack,0,FURIA,-6,20,T1,6,6,0
22,FURIA,T1,T1,FURIA,Icebox,13,5,6,7,0,5,0,0,2,T1,Attack,0,FURIA,8,18,FURIA,7,5,2
23,Team Secret,Natus Vincere,Team Secret,Natus Vincere,Icebox,8,13,6,2,0,7,6,0,1,Natus Vincere,Defense,0,Natus Vincere,-5,21,Team Secret,6,6,0
23,Natus Vincere,Team Secret,Team Secret,Natus Vincere,Pearl,13,4,4,9,0,3,1,0,2,Team Secret,Attack,0,Natus Vincere,9,17,Natus Vincere,9,3,6
24,LEVIATÁN,Team Vitality,LEVIATÁN,Team Vitality,Haven,16,14,7,5,4,7,5,2,1,Team Vitality,Attack,1,LEVIATÁN,2,30,LEVIATÁN,5,7,-2
24,Team Vitality,LEVIATÁN,LEVIATÁN,Team Vitality,Pearl,3,13,2,1,0,3,10,0,2,LEVIATÁN,Defense,0,LEVIATÁN,-10,16,Team Vitality,2,10,-8
25,FUT Esports,100 Thieves,FUT Esports,100 Thieves,Lotus,13,9,8,5,0,7,2,0,1,100 Thieves,Attack,0,FUT Esports,4,22,FUT Esports,5,7,-2
25,100 Thieves,FUT Esports,FUT Esports,100 Thieves,Haven,13,11,7,6,0,6,5,0,2,FUT Esports,Defense,0,100 Thieves,2,24,100 Thieves,7,5,2
25,100 Thieves,FUT Esports,FUT Esports,100 Thieves,Icebox,13,8,5,8,0,4,4,0,3,FUT Esports,Attack,0,100 Thieves,5,21,,8,4,4
26,FNATIC,FURIA,FNATIC,FURIA,Haven,18,16,8,4,6,8,4,4,1,FURIA,Defense,1,FNATIC,2,34,FNATIC,8,4,4
26,FURIA,FNATIC,FNATIC,FURIA,Ascent,9,13,4,5,0,5,8,0,2,FNATIC,Defense,0,FNATIC,-4,22,FURIA,4,8,-4
27,LEVIATÁN,Natus Vincere,LEVIATÁN,Natus Vincere,Ascent,10,13,6,4,0,7,6,0,1,Natus Vincere,Defense,0,Natus Vincere,-3,23,LEVIATÁN,6,6,0
