Match ID,Team 1,Team 2,Team A,Team B,Map Name,Team 1 Score,Team 2 Score,Team 1 Attack Rounds,Team 1 Defense Rounds,Team 1 Overtime Rounds,Team 2 Attack Rounds,Team 2 Defense Rounds,Team 2 Overtime Rounds,Map Index,Side Picker,Side Picked,Overtime,Map Winner,Score Difference,Total Rounds Played,Map Picker
232,TYLOO,Shenzhen NTER,TYLOO,Shenzhen NTER,Pearl,13,4,4,9,0,3,1,0,1,Shenzhen NTER,Attack,0,TYLOO,9,17,TYLOO
232,TYLOO,Shenzhen NTER,TYLOO,Shenzhen NTER,Lotus,13,9,4,9,0,1,8,0,2,TYLOO,Attack,0,TYLOO,4,22,Shenzhen NTER
233,Weibo Gaming,Dragon Ranger Gaming,Weibo Gaming,Dragon Ranger Gaming,Haven,10,13,4,6,0,6,7,0,1,Dragon Ranger Gaming,Attack,0,Dragon Ranger Gaming,-3,23,Weibo Gaming
233,Weibo Gaming,Dragon Ranger Gaming,Weibo Gaming,Dragon Ranger Gaming,Bind,13,9,7,6,0,6,3,0,2,Weibo Gaming,Defense,0,Weibo Gaming,4,22,Dragon Ranger Gaming
233,Weibo Gaming,Dragon Ranger Gaming,Weibo Gaming,Dragon Ranger Gaming,Split,13,5,5,8,0,4,1,0,3,Weibo Gaming,Defense,0,Weibo Gaming,8,18,
234,Attacking Soul Esports,Trace Esports,Attacking Soul Esports,Trace Esports,Lotus,13,10,7,6,0,6,4,0,1,Trace Esports,Attack,0,Attacking Soul Esports,3,23,Attacking Soul Esports
234,Attacking Soul Esports,Trace Esports,Attacking Soul Esports,Trace Esports,Split,5,13,1,4,0,8,5,0,2,Attacking Soul Esports,Defense,0,Trace Esports,-8,18,Trace Esports
234,Attacking Soul Esports,Trace Esports,Attacking Soul Esports,Trace Esports,Bind,11,13,9,2,0,10,3,0,3,Attacking Soul Esports,Defense,0,Trace Esports,-2,24,
235,Bilibili Gaming,Monarch Effect,Bilibili Gaming,Monarch Effect,Lotus,13,10,10,3,0,9,1,0,1,Monarch Effect,Attack,0,Bilibili Gaming,3,23,Bilibili Gaming
235,Bilibili Gaming,Monarch Effect,Bilibili Gaming,Monarch Effect,Haven,13,7,4,9,0,3,4,0,2,Bilibili Gaming,Defense,0,Bilibili Gaming,6,20,Monarch Effect
236,FunPlus Phoenix,TYLOO,FunPlus Phoenix,TYLOO,Fracture,9,13,4,5,0,7,6,0,1,TYLOO,Attack,0,TYLOO,-4,22,FunPlus Phoenix
236,FunPlus Phoenix,TYLOO,FunPlus Phoenix,TYLOO,Bind,10,13,6,4,0,8,5,0,2,FunPlus Phoenix,Defense,0,TYLOO,-3,23,TYLOO
237,EDward Gaming,Weibo Gaming,Weibo Gaming,EDward Gaming,Fracture,13,6,8,5,0,2,4,0,1,EDward Gaming,Attack,0,EDward Gaming,7,19,Weibo Gaming
237,EDward Gaming,Weibo Gaming,Weibo Gaming,EDward Gaming,Bind,13,7,9,4,0,4,3,0,2,Weibo Gaming,Defense,0,EDward Gaming,6,20,EDward Gaming
238,Attacking Soul Esports,Monarch Effect,Attacking Soul Esports,Monarch Effect,Fracture,13,5,8,5,0,1,4,0,1,Monarch Effect,Defense,0,Attacking Soul Esports,8,18,Attacking Soul Esports
238,Attacking Soul Esports,Monarch Effect,Attacking Soul Esports,Monarch Effect,Split,13,5,4,9,0,3,2,0,2,Attacking Soul Esports,Defense,0,Attacking Soul Esports,8,18,Monarch Effect
239,FunPlus Phoenix,Weibo Gaming,FunPlus Phoenix,Weibo Gaming,Lotus,13,5,4,9,0,3,2,0,1,Weibo Gaming,Attack,0,FunPlus Phoenix,8,18,FunPlus Phoenix
239,FunPlus Phoenix,Weibo Gaming,FunPlus Phoenix,Weibo Gaming,Ascent,13,9,8,5,0,7,2,0,2,FunPlus Phoenix,Defense,0,FunPlus Phoenix,4,22,Weibo Gaming
240,Trace Esports,Bilibili Gaming,Bilibili Gaming,Trace Esports,Haven,10,13,6,4,0,7,6,0,1,Trace Esports,Attack,0,Bilibili Gaming,-3,23,Bilibili Gaming
240,Trace Esports,Bilibili Gaming,Bilibili Gaming,Trace Esports,Lotus,5,13,1,4,0,2,11,0,2,Bilibili Gaming,Defense,0,Bilibili Gaming,-8,18,Trace Esports
240,Trace Esports,Bilibili Gaming,Bilibili Gaming,Trace Esports,Split,2,13,0,2,0,10,3,0,3,Trace Esports,Defense,0,Bilibili Gaming,-11,15,Bilibili Gaming
241,TYLOO,EDward Gaming,TYLOO,EDward Gaming,Split,6,13,4,2,0,5,8,0,1,EDward Gaming,Defense,0,EDward Gaming,-7,19,TYLOO
241,TYLOO,EDward Gaming,TYLOO,EDward Gaming,Haven,2,13,2,0,0,3,10,0,2,TYLOO,Attack,0,EDward Gaming,-11,15,EDward Gaming
241,TYLOO,EDward Gaming,TYLOO,EDward Gaming,Bind,2,13,0,2,0,10,3,0,3,EDward Gaming,Attack,0,EDward Gaming,-11,15,TYLOO
242,Trace Esports,FunPlus Phoenix,FunPlus Phoenix,Trace Esports,Lotus,9,13,5,4,0,6,7,0,1,Trace Esports,Attack,0,FunPlus Phoenix,-4,22,FunPlus Phoenix
242,Trace Esports,FunPlus Phoenix,FunPlus Phoenix,Trace Esports,Split,13,6,8,5,0,2,4,0,2,FunPlus Phoenix,Defense,0,Trace Esports,7,19,Trace Esports
242,Trace Esports,FunPlus Phoenix,FunPlus Phoenix,Trace Esports,Ascent,8,13,3,5,0,7,6,0,3,FunPlus Phoenix,Attack,0,FunPlus Phoenix,-5,21,
243,TYLOO,Attacking Soul Esports,TYLOO,Attacking Soul Esports,Split,3,13,2,1,0,3,10,0,1,Attacking Soul Esports,Defense,0,Attacking Soul Esports,-10,16,TYLOO
243,TYLOO,Attacking Soul Esports,TYLOO,Attacking Soul Esports,Fracture,13,10,7,6,0,5,5,0,2,TYLOO,Attack,0,TYLOO,3,23,Attacking Soul Esports
243,TYLOO,Attacking Soul Esports,TYLOO,Attacking Soul Esports,Ascent,14,12,5,7,2,5,7,0,3,TYLOO,Defense,1,TYLOO,2,26,
244,Bilibili Gaming,EDward Gaming,Bilibili Gaming,EDward Gaming,Pearl,3,13,0,3,0,9,4,0,1,EDward Gaming,Attack,0,EDward Gaming,-10,16,Bilibili Gaming
244,Bilibili Gaming,EDward Gaming,Bilibili Gaming,EDward Gaming,Bind,10,13,4,6,0,6,7,0,2,Bilibili Gaming,Defense,0,EDward Gaming,-3,23,EDward Gaming
244,Bilibili Gaming,EDward Gaming,Bilibili Gaming,EDward Gaming,Split,4,13,4,0,0,5,8,0,3,EDward Gaming,Defense,0,EDward Gaming,-9,17,Bilibili Gaming
245,TYLOO,FunPlus Phoenix,FunPlus Phoenix,TYLOO,Pearl,8,13,4,4,0,8,5,0,1,TYLOO,Defense,0,FunPlus Phoenix,-5,21,FunPlus Phoenix
245,TYLOO,FunPlus Phoenix,FunPlus Phoenix,TYLOO,Bind,13,7,5,8,0,4,3,0,2,FunPlus Phoenix,Attack,0,TYLOO,6,20,TYLOO
245,TYLOO,FunPlus Phoenix,FunPlus Phoenix,TYLOO,Ascent,11,13,7,4,0,8,5,0,3,TYLOO,Defense,0,FunPlus Phoenix,-2,24,FunPlus Phoenix
245,TYLOO,FunPlus Phoenix,FunPlus Phoenix,TYLOO,Fracture,10,13,4,6,0,6,7,0,4,FunPlus Phoenix,Attack,0,FunPlus Phoenix,-3,23,TYLOO
246,Bilibili Gaming,FunPlus Phoenix,FunPlus Phoenix,Bilibili Gaming,Lotus,11,13,7,4,0,8,5,0,1,Bilibili Gaming,Defense,0,FunPlus Phoenix,-2,24,FunPlus Phoenix
246,Bilibili Gaming,FunPlus Phoenix,FunPlus Phoenix,Bilibili Gaming,Bind,13,9,5,8,0,4,5,0,2,FunPlus Phoenix,Attack,0,Bilibili Gaming,4,22,Bilibili Gaming
246,Bilibili Gaming,FunPlus Phoenix,FunPlus Phoenix,Bilibili Gaming,Pearl,9,13,5,4,0,8,5,0,3,Bilibili Gaming,Defense,0,FunPlus Phoenix,-4,22,FunPlus Phoenix
246,Bilibili Gaming,FunPlus Phoenix,FunPlus Phoenix,Bilibili Gaming,Split,13,6,4,9,0,3,3,0,4,FunPlus Phoenix,Attack,0,Bilibili Gaming,7,19,Bilibili Gaming
246,Bilibili Gaming,FunPlus Phoenix,FunPlus Phoenix,Bilibili Gaming,Ascent,13,5,3,10,0,2,3,0,5,Bilibili Gaming,Defense,0,Bilibili Gaming,8,18,
247,EDward Gaming,Bilibili Gaming,Bilibili Gaming,EDward Gaming,Split,13,6,4,9,0,3,3,0,1,EDward Gaming,Defense,0,EDward Gaming,7,19,Bilibili Gaming
247,EDward Gaming,Bilibili Gaming,Bilibili Gaming,EDward Gaming,Fracture,13,4,5,8,0,4,0,0,2,Bilibili Gaming,Attack,0,EDward Gaming,9,17,EDward Gaming
247,EDward Gaming,Bilibili Gaming,Bilibili Gaming,EDward Gaming,Bind,12,14,8,4,0,8,4,2,3,EDward Gaming,Attack,1,Bilibili Gaming,-2,26,Bilibili Gaming
247,EDward Gaming,Bilibili Gaming,Bilibili Gaming,EDward Gaming,Haven,14,12,4,8,2,4,8,0,4,Bilibili Gaming,Defense,1,EDward Gaming,2,26,EDward Gaming
248,FUT Esports,Evil Geniuses,Evil Geniuses,FUT Esports,Split,5,13,0,5,0,7,6,0,1,FUT Esports,Defense,0,Evil Geniuses,-8,18,Evil Geniuses
248,FUT Esports,Evil Geniuses,Evil Geniuses,FUT Esports,Lotus,12,14,6,6,0,6,6,2,2,Evil Geniuses,Defense,1,Evil Geniuses,-2,26,FUT Esports
249,DRX,Attacking Soul Esports,Attacking Soul Esports,DRX,Fracture,13,10,7,6,0,5,5,0,1,DRX,Attack,0,DRX,3,23,Attacking Soul Esports
249,DRX,Attacking Soul Esports,Attacking Soul Esports,DRX,Pearl,13,7,8,5,0,3,4,0,2,Attacking Soul Esports,Defense,0,DRX,6,20,DRX
250,EDward Gaming,T1,T1,EDward Gaming,Fracture,10,13,6,4,0,7,6,0,1,EDward Gaming,Attack,0,T1,-3,23,T1
250,EDward Gaming,T1,T1,EDward Gaming,Haven,13,7,6,7,0,1,6,0,2,T1,Defense,0,EDward Gaming,6,20,EDward Gaming
250,EDward Gaming,T1,T1,EDward Gaming,Pearl,12,14,6,6,0,6,6,2,3,T1,Defense,1,T1,-2,26,
251,NRG Esports,Natus Vincere,Natus Vincere,NRG Esports,Ascent,13,8,7,6,0,6,2,0,1,NRG Esports,Defense,0,NRG Esports,5,21,Natus Vincere
251,NRG Esports,Natus Vincere,Natus Vincere,NRG Esports,Lotus,12,14,8,4,0,8,4,2,2,Natus Vincere,Defense,1,Natus Vincere,-2,26,NRG Esports
251,NRG Esports,Natus Vincere,Natus Vincere,NRG Esports,Split,13,6,10,3,0,4,2,0,3,Natus Vincere,Defense,0,NRG Esports,7,19,
252,DRX,Evil Geniuses,Evil Geniuses,DRX,Fracture,5,13,4,1,0,5,8,0,1,DRX,Attack,0,Evil Geniuses,-8,18,Evil Geniuses
252,DRX,Evil Geniuses,Evil Geniuses,DRX,Ascent,9,13,5,4,0,6,7,0,2,Evil Geniuses,Defense,0,Evil Geniuses,-4,22,DRX
253,NRG Esports,T1,T1,NRG Esports,Lotus,11,13,6,5,0,7,6,0,1,NRG Esports,Attack,0,T1,-2,24,T1
253,NRG Esports,T1,T1,NRG Esports,Bind,13,7,6,7,0,1,6,0,2,T1,Defense,0,NRG Esports,6,20,NRG Esports
253,NRG Esports,T1,T1,NRG Esports,Pearl,13,11,7,6,0,6,5,0,3,T1,Defense,0,NRG Esports,2,24,
254,Attacking Soul Esports,FUT Esports,FUT Esports,Attacking Soul Esports,Haven,13,8,4,9,0,3,5,0,1,Attacking Soul Esports,Defense,0,Attacking Soul Esports,5,21,FUT Esports
254,Attacking Soul Esports,FUT Esports,FUT Esports,Attacking Soul Esports,Ascent,5,13,5,0,0,6,7,0,2,FUT Esports,Defense,0,FUT Esports,-8,18,Attacking Soul Esports
254,Attacking Soul Esports,FUT Esports,FUT Esports,Attacking Soul Esports,Lotus,6,13,2,4,0,8,5,0,3,FUT Esports,Attack,0,FUT Esports,-7,19,
255,Natus Vincere,EDward Gaming,Natus Vincere,EDward Gaming,Pearl,15,17,7,5,3,7,5,5,1,EDward Gaming,Attack,1,EDward Gaming,-2,32,Natus Vincere
255,Natus Vincere,EDward Gaming,Natus Vincere,EDward Gaming,Bind,12,14,6,6,0,6,6,2,2,Natus Vincere,Defense,1,EDward Gaming,-2,26,EDward Gaming
256,DRX,FUT Esports,FUT Esports,DRX,Bind,9,13,3,6,0,4,9,0,1,DRX,Attack,0,FUT Esports,-4,22,FUT Esports
256,DRX,FUT Esports,FUT Esports,DRX,Fracture,13,8,7,6,0,6,2,0,2,FUT Esports,Attack,0,DRX,5,21,DRX
256,DRX,FUT Esports,FUT Esports,DRX,Haven,13,4,2,11,0,1,3,0,3,FUT Esports,Attack,0,DRX,9,17,
257,T1,EDward Gaming,T1,EDward Gaming,Fracture,4,13,0,4,0,8,5,0,1,EDward Gaming,Attack,0,EDward Gaming,-9,17,T1
257,T1,EDward Gaming,T1,EDward Gaming,Haven,6,13,4,2,0,10,3,0,2,T1,Defense,0,EDward Gaming,-7,19,EDward Gaming
258,LOUD,Evil Geniuses,Evil Geniuses,LOUD,Fracture,7,13,4,3,0,9,4,0,1,LOUD,Defense,0,Evil Geniuses,-6,20,Evil Geniuses
258,LOUD,Evil Geniuses,Evil Geniuses,LOUD,Ascent,5,13,5,0,0,6,7,0,2,Evil Geniuses,Defense,0,Evil Geniuses,-8,18,LOUD
