Match ID,Team 1 Score,Team 2 Score,Team 1 Attack Rounds,Team 1 Defense Rounds,Team 1 Overtime Rounds,Team 2 Attack Rounds,Team 2 Defense Rounds,Team 2 Overtime Rounds,Team 1 Halftime Score,Team 2 Halftime Score,Halftime Lead,Side Picker,Side Picked,Team 1,Team 2
60,13,8,6,7,0,2,6,0,6,6,0,Rex Regum Qeon,Attack,Rex Regum Qeon,DRX
60,10,13,6,4,0,7,6,0,6,6,0,DRX,Defense,Rex Regum Qeon,DRX
60,2,13,0,2,0,10,3,0,2,10,-8,DRX,Attack,Rex Regum Qeon,DRX
61,13,11,9,4,0,8,3,0,4,8,-4,Paper Rex,Attack,TALON,Paper Rex
61,4,13,3,1,0,4,9,0,3,9,-6,TALON,Attack,TALON,Paper Rex
61,10,13,6,4,0,7,6,0,6,6,0,TALON,Attack,TALON,Paper Rex
62,13,8,7,6,0,3,5,0,7,5,2,TALON,Attack,TALON,Gen.G
62,13,7,6,7,0,5,2,0,7,5,2,Gen.G,Attack,TALON,Gen.G
63,6,13,1,5,0,7,6,0,5,7,-2,ZETA DIVISION,Defense,ZETA DIVISION,Paper Rex
63,10,13,6,4,0,8,5,0,4,8,-4,Paper Rex,Attack,ZETA DIVISION,Paper Rex
64,13,10,7,6,0,6,4,0,6,6,0,Global Esports,Attack,Rex Regum Qeon,Global Esports
64,13,11,8,5,0,7,4,0,8,4,4,Rex Regum Qeon,Attack,Rex Regum Qeon,Global Esports
65,4,13,2,2,0,3,10,0,2,10,-8,T1,Defense,Team Secret,T1
65,8,13,3,5,0,7,6,0,5,7,-2,Team Secret,Defense,Team Secret,T1
66,13,8,5,8,0,1,7,0,5,7,-2,DRX,Attack,DRX,DetonatioN FocusMe
66,13,4,9,4,0,1,3,0,9,3,6,DetonatioN FocusMe,Defense,DRX,DetonatioN FocusMe
67,13,7,9,4,0,4,3,0,9,3,6,Gen.G,Defense,Paper Rex,Gen.G
67,13,2,10,3,0,0,2,0,10,2,8,Paper Rex,Attack,Paper Rex,Gen.G
68,11,13,6,5,0,7,6,0,6,6,0,T1,Defense,ZETA DIVISION,T1
68,13,10,3,10,0,1,9,0,3,9,-6,ZETA DIVISION,Attack,ZETA DIVISION,T1
68,3,13,3,0,0,4,9,0,3,9,-6,ZETA DIVISION,Attack,ZETA DIVISION,T1
69,13,8,5,8,0,4,4,0,8,4,4,DRX,Attack,Team Secret,DRX
69,13,11,10,3,0,9,2,0,3,9,-6,Team Secret,Defense,Team Secret,DRX
70,13,7,8,5,0,3,4,0,8,4,4,Global Esports,Attack,Global Esports,DetonatioN FocusMe
70,13,6,11,2,0,5,1,0,11,1,10,DetonatioN FocusMe,Defense,Global Esports,DetonatioN FocusMe
71,13,3,9,4,0,0,3,0,9,3,6,TALON,Attack,TALON,Rex Regum Qeon
71,4,13,1,3,0,9,4,0,3,9,-6,Rex Regum Qeon,Attack,TALON,Rex Regum Qeon
71,7,13,4,3,0,5,8,0,4,8,-4,Rex Regum Qeon,Defense,TALON,Rex Regum Qeon
72,13,8,8,5,0,4,4,0,8,4,4,ZETA DIVISION,Attack,ZETA DIVISION,Gen.G
72,4,13,1,3,0,9,4,0,3,9,-6,Gen.G,Attack,ZETA DIVISION,Gen.G
72,13,4,5,8,0,4,0,0,8,4,4,Gen.G,Attack,ZETA DIVISION,Gen.G
73,10,13,7,3,0,9,4,0,3,9,-6,DRX,Attack,T1,DRX
73,9,13,3,6,0,4,9,0,3,9,-6,T1,Attack,T1,DRX
74,13,9,7,6,0,6,3,0,6,6,0,Global Esports,Attack,Team Secret,Global Esports
74,13,10,7,6,0,5,5,0,7,5,2,Team Secret,Attack,Team Secret,Global Esports
75,13,11,7,6,0,6,5,0,6,6,0,DetonatioN FocusMe,Attack,TALON,DetonatioN FocusMe
75,13,4,10,3,0,2,2,0,10,2,8,TALON,Attack,TALON,DetonatioN FocusMe
76,9,13,4,5,0,7,6,0,5,7,-2,Paper Rex,Attack,Rex Regum Qeon,Paper Rex
76,11,13,4,7,0,5,8,0,4,8,-4,Rex Regum Qeon,Attack,Rex Regum Qeon,Paper Rex
77,13,15,3,9,1,3,9,3,3,9,-6,ZETA DIVISION,Attack,ZETA DIVISION,Team Secret
77,12,14,5,7,0,5,7,2,5,7,-2,Team Secret,Defense,ZETA DIVISION,Team Secret
78,13,8,6,7,0,5,3,0,7,5,2,Gen.G,Attack,T1,Gen.G
78,11,13,3,8,0,4,9,0,8,4,4,T1,Defense,T1,Gen.G
78,13,7,7,6,0,6,1,0,6,6,0,T1,Defense,T1,Gen.G
79,9,13,5,4,0,8,5,0,4,8,-4,DRX,Defense,DRX,Team Secret
79,13,5,10,3,0,3,2,0,10,2,8,Team Secret,Defense,DRX,Team Secret
79,13,4,3,10,0,2,2,0,10,2,8,Team Secret,Attack,DRX,Team Secret
80,13,10,6,7,0,4,6,0,6,6,0,Paper Rex,Attack,Paper Rex,T1
