Match ID,Date,Team 1_0,Team 1_1,Team 1_2,Team 1_3,Team 1_4,Team 1_5,Team 2_0,Team 2_1,Team 2_2,Team 2_3,Team 2_4,Team 2_5,Team 1 Attack Rounds,Team 1 Defense Rounds,Team 2 Attack Rounds,Team 2 Defense Rounds,Overtime,Score Difference,Map_Abyss,Map_Ascent,Map_Bind,Map_Breeze,Map_Haven,Map_Icebox,Map_Lotus,Map_Split,Map_Sunset
45,2024-02-22 13:10:00,0,1,0,1,0,0,0,1,1,0,0,1,7,6,2,5,0,6,False,False,False,False,False,False,False,False,True
46,2024-02-23 08:00:00,0,1,0,1,1,0,0,1,1,0,1,0,8,5,7,0,0,6,False,False,False,False,False,False,False,True,False
46,2024-02-23 08:00:00,0,1,0,1,1,0,0,1,1,0,1,0,6,7,1,6,0,6,False,False,False,True,False,False,False,False,False
47,2024-02-23 10:10:00,0,1,1,0,1,0,0,1,0,1,1,1,3,2,10,3,0,-8,False,False,True,False,False,False,False,False,False
47,2024-02-23 10:10:00,0,1,1,0,1,0,0,1,0,1,1,1,4,6,6,7,0,-3,False,False,False,False,False,False,False,True,False
48,2024-02-23 12:20:00,0,1,1,0,0,0,0,1,1,0,1,1,8,4,8,4,1,-2,False,False,False,False,False,False,True,False,False
48,2024-02-23 12:20:00,0,1,1,0,0,0,0,1,1,0,1,1,5,0,6,7,0,-8,False,True,False,False,False,False,False,False,False
49,2024-02-25 08:05:00,0,1,1,0,0,0,0,1,1,0,0,0,2,2,10,3,0,-9,False,False,False,True,False,False,False,False,False
49,2024-02-25 08:05:00,0,1,1,0,0,0,0,1,1,0,0,0,7,5,7,5,1,2,False,False,False,False,False,False,True,False,False
49,2024-02-25 08:05:00,0,1,1,0,0,0,0,1,1,0,0,0,11,2,2,1,0,10,False,False,False,False,False,False,False,False,True
50,2024-02-25 11:15:00,0,1,1,0,1,1,0,1,1,1,0,0,6,6,6,6,1,2,False,False,False,False,False,False,True,False,False
50,2024-02-25 11:15:00,0,1,1,0,1,1,0,1,1,1,0,0,1,3,9,4,0,-9,False,False,True,False,False,False,False,False,False
50,2024-02-25 11:15:00,0,1,1,0,1,1,0,1,1,1,0,0,3,10,2,5,0,6,False,False,False,False,False,False,False,False,True
51,2024-02-25 14:45:00,0,1,0,1,1,1,0,1,0,1,1,1,4,7,5,8,0,-2,False,False,False,False,False,False,False,False,True
51,2024-02-25 14:45:00,0,1,0,1,1,1,0,1,0,1,1,1,6,6,6,6,1,2,False,False,False,False,False,True,False,False,False
51,2024-02-25 14:45:00,0,1,0,1,1,1,0,1,0,1,1,1,5,5,6,7,0,-3,False,False,False,False,False,False,False,True,False
52,2024-02-26 08:00:00,0,1,1,0,1,1,0,1,1,1,0,1,5,8,4,4,0,5,False,False,False,False,False,False,False,False,True
52,2024-02-26 08:00:00,0,1,1,0,1,1,0,1,1,1,0,1,7,5,7,5,1,2,False,True,False,False,False,False,False,False,False
53,2024-02-26 10:45:00,0,1,1,1,0,0,0,1,1,1,0,1,7,2,10,3,0,-4,False,False,False,False,False,False,False,False,True
53,2024-02-26 10:45:00,0,1,1,1,0,0,0,1,1,1,0,1,0,6,6,7,0,-7,False,False,False,True,False,False,False,False,False
54,2024-02-26 12:45:00,0,1,1,0,1,1,0,1,0,1,1,1,5,8,4,0,0,9,False,False,False,False,False,False,False,False,True
54,2024-02-26 12:45:00,0,1,1,0,1,1,0,1,0,1,1,1,9,4,4,3,0,6,False,False,True,False,False,False,False,False,False
55,2024-02-29 11:00:00,0,1,1,0,0,1,0,1,1,1,1,0,4,8,4,8,1,2,False,False,False,False,False,False,False,False,True
55,2024-02-29 11:00:00,0,1,1,0,0,1,0,1,1,1,1,0,10,3,2,2,0,9,False,False,False,True,False,False,False,False,False
56,2024-02-29 13:20:00,0,1,1,1,0,1,0,1,0,1,0,1,4,6,5,8,0,-3,False,False,False,False,False,False,True,False,False
56,2024-02-29 13:20:00,0,1,1,1,0,1,0,1,0,1,0,1,3,5,7,6,0,-5,False,False,False,False,False,False,False,True,False
57,2024-03-01 11:00:00,0,1,1,0,0,1,0,1,0,1,0,1,4,9,3,6,0,4,False,False,False,False,False,False,False,False,True
57,2024-03-01 11:00:00,0,1,1,0,0,1,0,1,0,1,0,1,6,1,11,2,0,-6,False,False,False,False,False,False,True,False,False
57,2024-03-01 11:00:00,0,1,1,0,0,1,0,1,0,1,0,1,4,3,5,8,0,-6,False,False,False,False,False,True,False,False,False
57,2024-03-01 11:00:00,0,1,1,0,0,1,0,1,0,1,0,1,4,1,5,8,0,-8,False,False,False,False,False,False,False,True,False
58,2024-02-22 04:00:00,0,1,1,1,1,0,0,1,1,1,1,1,5,8,4,0,0,9,False,True,False,False,False,False,False,False,False
58,2024-02-22 04:00:00,0,1,1,1,1,0,0,1,1,1,1,1,2,11,1,2,0,10,False,False,False,False,False,False,False,False,True
59,2024-02-22 06:05:00,0,1,1,1,1,1,1,0,0,0,0,0,6,7,5,0,0,8,False,False,False,False,False,False,True,False,False
59,2024-02-22 06:05:00,0,1,1,1,1,1,1,0,0,0,0,0,7,6,5,5,0,3,False,False,False,False,False,False,False,False,True
60,2024-02-23 02:00:00,1,0,0,0,0,0,1,0,0,0,0,1,6,2,7,6,0,-5,False,False,False,False,False,False,True,False,False
60,2024-02-23 02:00:00,1,0,0,0,0,0,1,0,0,0,0,1,4,8,4,8,1,-2,False,False,True,False,False,False,False,False,False
61,2024-02-23 04:55:00,1,0,0,0,0,1,1,0,0,0,1,0,8,5,7,4,0,2,False,False,False,False,False,False,False,False,True
61,2024-02-23 04:55:00,1,0,0,0,0,1,1,0,0,0,1,0,4,9,3,1,0,9,False,True,False,False,False,False,False,False,False
62,2024-02-23 07:05:00,1,0,0,0,1,0,1,0,0,0,1,1,3,6,4,9,0,-4,False,True,False,False,False,False,False,False,False
62,2024-02-23 07:05:00,1,0,0,0,1,0,1,0,0,0,1,1,2,5,7,6,0,-6,False,False,False,False,False,True,False,False,False
63,2024-02-24 04:00:00,1,0,0,0,1,1,1,0,0,0,0,0,6,5,7,6,0,-2,False,True,False,False,False,False,False,False,False
63,2024-02-24 04:00:00,1,0,0,0,1,1,1,0,0,0,0,0,6,5,7,6,0,-2,False,False,False,False,False,False,False,True,False
64,2024-02-24 06:25:00,1,0,0,0,0,0,1,0,0,0,1,0,6,7,5,6,0,2,False,False,False,False,False,True,False,False,False
64,2024-02-24 06:25:00,1,0,0,0,0,0,1,0,0,0,1,0,6,7,2,6,0,5,False,False,False,False,False,False,False,False,True
65,2024-02-25 02:00:00,0,1,1,1,1,0,1,0,0,1,0,0,7,4,8,5,0,-2,False,False,False,False,False,False,False,False,True
65,2024-02-25 02:00:00,0,1,1,1,1,0,1,0,0,1,0,0,8,5,7,4,0,2,False,False,True,False,False,False,False,False,False
