Event,Team 1,Team 2,Date,Match Format,Maps Picked/Banned,Map Scores,Team 1 Attack,Team 1 Defense,Team 1 Overtime,Team 2 Defense,Team 2 Attack,Team 2 Overtime,Durations (in seconds)
Champions Tour 2024: Pacific Stage 1,T1,ZETA DIVISION,2024-04-28 04:00:00,Bo3,"[{'Team': 'ZETA', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'T1', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'ZETA', 'Action': 'pick', 'Map': 'Bind'}, {'Team': 'T1', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'ZETA', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'T1', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Sunset'}]","[{'Map': 'Bind', 'Team 1 Score': 11, 'Team 2 Score': 13}, {'Map': 'Lotus', 'Team 1 Score': 13, 'Team 2 Score': 9}, {'Map': 'Sunset', 'Team 1 Score': 13, 'Team 2 Score': 10}]","[6, 8, 6]","[5, 5, 7]","[None, None, None]","[6, 4, 6]","[7, 5, 4]","[None, None, None]","[3720, 2634, 2976]"
Champions Tour 2024: Pacific Stage 1,Team Secret,Talon Esports,2024-04-28 07:10:00,Bo3,"[{'Team': 'TS', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'TLN', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'TS', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'TLN', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'TS', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'TLN', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Breeze'}]","[{'Map': 'Sunset', 'Team 1 Score': 13, 'Team 2 Score': 11}, {'Map': 'Lotus', 'Team 1 Score': 11, 'Team 2 Score': 13}, {'Map': 'Breeze', 'Team 1 Score': 10, 'Team 2 Score': 13}]","[3, 5, 7]","[10, 6, 3]","[None, None, None]","[9, 7, 5]","[2, 6, 8]","[None, None, None]","[3653, 3369, 3169]"
Champions Tour 2024: Pacific Stage 1,BLEED,DRX,2024-04-29 04:00:00,Bo3,"[{'Team': 'DRX', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'BLD', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'DRX', 'Action': 'pick', 'Map': 'Bind'}, {'Team': 'BLD', 'Action': 'pick', 'Map': 'Breeze'}, {'Team': 'DRX', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'BLD', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Split'}]","[{'Map': 'Bind', 'Team 1 Score': 9, 'Team 2 Score': 13}, {'Map': 'Breeze', 'Team 1 Score': 4, 'Team 2 Score': 13}]","[5, 2]","[4, 2]","[None, None]","[7, 3]","[6, 10]","[None, None]","[3733, 2437]"
Champions Tour 2024: Pacific Stage 1,Gen.G,Rex Regum Qeon,2024-04-29 06:05:00,Bo3,"[{'Team': 'RRQ', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'GEN', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'RRQ', 'Action': 'pick', 'Map': 'Breeze'}, {'Team': 'GEN', 'Action': 'pick', 'Map': 'Ascent'}, {'Team': 'RRQ', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'GEN', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Split'}]","[{'Map': 'Breeze', 'Team 1 Score': 13, 'Team 2 Score': 3}, {'Map': 'Ascent', 'Team 1 Score': 11, 'Team 2 Score': 13}, {'Map': 'Split', 'Team 1 Score': 10, 'Team 2 Score': 13}]","[2, 5, 5]","[11, 6, 5]","[None, None, None]","[2, 7, 7]","[1, 6, 6]","[None, None, None]","[2571, 3532, 3560]"
Champions Tour 2024: Pacific Stage 1,Team Secret,T1,2024-05-03 04:00:00,Bo3,"[{'Team': 'T1', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'TS', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'T1', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'TS', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'T1', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'TS', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Breeze'}]","[{'Map': 'Lotus', 'Team 1 Score': 7, 'Team 2 Score': 13}, {'Map': 'Sunset', 'Team 1 Score': 11, 'Team 2 Score': 13}]","[5, 2]","[2, 9]","[None, None]","[7, 10]","[6, 3]","[None, None]","[3117, 2932]"
Champions Tour 2024: Pacific Stage 1,Paper Rex,Talon Esports,2024-05-03 06:10:00,Bo3,"[{'Team': 'TLN', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'PRX', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'TLN', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'PRX', 'Action': 'pick', 'Map': 'Bind'}, {'Team': 'TLN', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'PRX', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Sunset'}]","[{'Map': 'Lotus', 'Team 1 Score': 13, 'Team 2 Score': 0}, {'Map': 'Sunset', 'Team 1 Score': 13, 'Team 2 Score': 9}, {'Map': 'Bind', 'Team 1 Score': 7, 'Team 2 Score': 13}]","[12, 3, 4]","[1, 10, 3]","[None, None, None]","[0, 7, 4]","[0, 2, 9]","[None, None, None]","[1977, 2937, 2627]"
Champions Tour 2024: Pacific Stage 1,Gen.G,T1,2024-05-04 04:00:00,Bo3,"[{'Team': 'GEN', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'T1', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'GEN', 'Action': 'pick', 'Map': 'Ascent'}, {'Team': 'T1', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'GEN', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'T1', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Breeze'}]","[{'Map': 'Ascent', 'Team 1 Score': 9, 'Team 2 Score': 13}, {'Map': 'Sunset', 'Team 1 Score': 13, 'Team 2 Score': 8}, {'Map': 'Breeze', 'Team 1 Score': 7, 'Team 2 Score': 13}]","[3, 7, 3]","[6, 6, 4]","[None, None, None]","[9, 2, 5]","[4, 6, 8]","[None, None, None]","[3724, 2574, 2728]"
Champions Tour 2024: Pacific Stage 1,DRX,Paper Rex,2024-05-04 07:10:00,Bo3,"[{'Team': 'PRX', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'DRX', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'PRX', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'DRX', 'Action': 'pick', 'Map': 'Ascent'}, {'Team': 'PRX', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'DRX', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Bind'}]","[{'Map': 'Lotus', 'Team 1 Score': 6, 'Team 2 Score': 13}, {'Map': 'Ascent', 'Team 1 Score': 13, 'Team 2 Score': 10}, {'Map': 'Bind', 'Team 1 Score': 6, 'Team 2 Score': 13}]","[4, 5, 2]","[2, 8, 4]","[None, None, None]","[8, 7, 5]","[5, 3, 8]","[None, None, None]","[2505, 2933, 2384]"
Champions Tour 2024: Pacific Stage 1,T1,Paper Rex,2024-05-05 04:00:00,Bo3,"[{'Team': 'T1', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'PRX', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'T1', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'PRX', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'T1', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'PRX', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Split'}]","[{'Map': 'Lotus', 'Team 1 Score': 3, 'Team 2 Score': 13}, {'Map': 'Sunset', 'Team 1 Score': 5, 'Team 2 Score': 13}]","[2, 2]","[1, 3]","[None, None]","[2, 10]","[11, 3]","[None, None]","[3526, 2105]"
Champions Tour 2024: Pacific Stage 1,Gen.G,DRX,2024-05-05 06:00:00,Bo3,"[{'Team': 'DRX', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'GEN', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'DRX', 'Action': 'pick', 'Map': 'Bind'}, {'Team': 'GEN', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'DRX', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'GEN', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Ascent'}]","[{'Map': 'Bind', 'Team 1 Score': 8, 'Team 2 Score': 13}, {'Map': 'Sunset', 'Team 1 Score': 13, 'Team 2 Score': 11}, {'Map': 'Ascent', 'Team 1 Score': 13, 'Team 2 Score': 8}]","[2, 9, 8]","[6, 4, 5]","[None, None, None]","[7, 3, 4]","[6, 8, 4]","[None, None, None]","[3320, 3203, 3196]"
Champions Tour 2024: Pacific Stage 1,T1,Gen.G,2024-05-11 04:00:00,Bo5,"[{'Team': 'T1', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'GEN', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'T1', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'GEN', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': 'T1', 'Action': 'pick', 'Map': 'Bind'}, {'Team': 'GEN', 'Action': 'pick', 'Map': 'Split'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Ascent'}]","[{'Map': 'Lotus', 'Team 1 Score': 2, 'Team 2 Score': 13}, {'Map': 'Icebox', 'Team 1 Score': 11, 'Team 2 Score': 13}, {'Map': 'Bind', 'Team 1 Score': 9, 'Team 2 Score': 13}]","[2, 4, 5]","[0, 7, 4]","[None, None, None]","[10, 8, 7]","[3, 5, 6]","[None, None, None]","[2530, 2746, 2906]"
Champions Tour 2024: Pacific Stage 1,Paper Rex,Gen.G,2024-05-12 04:00:00,Bo5,"[{'Team': 'PRX', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'PRX', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'PRX', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'GEN', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'PRX', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': 'GEN', 'Action': 'pick', 'Map': 'Bind'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Split'}]","[{'Map': 'Lotus', 'Team 1 Score': 9, 'Team 2 Score': 13}, {'Map': 'Sunset', 'Team 1 Score': 13, 'Team 2 Score': 9}, {'Map': 'Icebox', 'Team 1 Score': 13, 'Team 2 Score': 11}, {'Map': 'Bind', 'Team 1 Score': 9, 'Team 2 Score': 13}, {'Map': 'Split', 'Team 1 Score': 13, 'Team 2 Score': 8}]","[6, 6, 7, 6, 5]","[3, 7, 6, 3, 8]","[None, None, None, None, None]","[6, 4, 5, 6, 7]","[7, 5, 6, 7, 1]","[None, None, None, None, None]","[3783, 2751, 3164, 2757, 2713]"
Champions Tour 2024: Masters Madrid,Karmine Corp,FunPlus Phoenix,2024-03-14 11:00:00,Bo3,"[{'Team': 'FPX', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'KC', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'FPX', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': 'KC', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'FPX', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'KC', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Sunset'}]","[{'Map': 'Icebox', 'Team 1 Score': 13, 'Team 2 Score': 8}, {'Map': 'Lotus', 'Team 1 Score': 13, 'Team 2 Score': 10}]","[6, 9]","[7, 4]","[None, None]","[3, 2]","[5, 8]","[None, None]","[3591, 3129]"
Champions Tour 2024: Masters Madrid,Gen.G,LOUD,2024-03-14 13:25:00,Bo3,"[{'Team': 'LOUD', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'GEN', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'LOUD', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': 'GEN', 'Action': 'pick', 'Map': 'Breeze'}, {'Team': 'LOUD', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'GEN', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Ascent'}]","[{'Map': 'Icebox', 'Team 1 Score': 13, 'Team 2 Score': 11}, {'Map': 'Breeze', 'Team 1 Score': 8, 'Team 2 Score': 13}, {'Map': 'Ascent', 'Team 1 Score': 13, 'Team 2 Score': 5}]","[6, 5, 9]","[7, 3, 4]","[None, None, None]","[6, 4, 3]","[5, 9, 2]","[None, None, None]","[3764, 3386, 2296]"
Champions Tour 2024: Masters Madrid,EDward Gaming,Paper Rex,2024-03-15 11:00:00,Bo3,"[{'Team': 'PRX', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'EDG', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'PRX', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'EDG', 'Action': 'pick', 'Map': 'Bind'}, {'Team': 'PRX', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'EDG', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Split'}]","[{'Map': 'Sunset', 'Team 1 Score': 8, 'Team 2 Score': 13}, {'Map': 'Bind', 'Team 1 Score': 13, 'Team 2 Score': 9}, {'Map': 'Split', 'Team 1 Score': 13, 'Team 2 Score': 9}]","[5, 5, 5]","[3, 8, 8]","[None, None, None]","[4, 5, 5]","[9, 4, 4]","[None, None, None]","[3656, 2951, 2629]"
Champions Tour 2024: Masters Madrid,Sentinels,Team Heretics,2024-03-15 14:15:00,Bo3,"[{'Team': 'SEN', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'TH', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'SEN', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'TH', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'SEN', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'TH', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Bind'}]","[{'Map': 'Lotus', 'Team 1 Score': 13, 'Team 2 Score': 9}, {'Map': 'Sunset', 'Team 1 Score': 5, 'Team 2 Score': 13}, {'Map': 'Bind', 'Team 1 Score': 13, 'Team 2 Score': 11}]","[9, 4, 6]","[4, 1, 7]","[None, None, None]","[1, 8, 6]","[8, 5, 5]","[None, None, None]","[3637, 2683, 3314]"
Champions Tour 2024: Masters Madrid,Sentinels,Karmine Corp,2024-03-16 11:00:00,Bo3,"[{'Team': 'SEN', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'KC', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'SEN', 'Action': 'pick', 'Map': 'Split'}, {'Team': 'KC', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'SEN', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'KC', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Bind'}]","[{'Map': 'Split', 'Team 1 Score': 13, 'Team 2 Score': 8}, {'Map': 'Lotus', 'Team 1 Score': 13, 'Team 2 Score': 11}]","[6, 7]","[7, 6]","[None, None]","[6, 5]","[2, 6]","[None, None]","[3424, 3409]"
Champions Tour 2024: Masters Madrid,EDward Gaming,Gen.G,2024-03-16 13:25:00,Bo3,"[{'Team': 'GEN', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'EDG', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'GEN', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': 'EDG', 'Action': 'pick', 'Map': 'Split'}, {'Team': 'GEN', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'EDG', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Breeze'}]","[{'Map': 'Icebox', 'Team 1 Score': 13, 'Team 2 Score': 8}, {'Map': 'Split', 'Team 1 Score': 5, 'Team 2 Score': 13}, {'Map': 'Breeze', 'Team 1 Score': 6, 'Team 2 Score': 13}]","[8, 0, 5]","[5, 5, 1]","[None, None, None]","[4, 6, 2]","[4, 7, 11]","[None, None, None]","[3341, 2390, 2716]"
Champions Tour 2024: Masters Madrid,FunPlus Phoenix,LOUD,2024-03-17 11:00:00,Bo3,"[{'Team': 'LOUD', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'FPX', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'LOUD', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'FPX', 'Action': 'pick', 'Map': 'Breeze'}, {'Team': 'LOUD', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'FPX', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Icebox'}]","[{'Map': 'Sunset', 'Team 1 Score': 5, 'Team 2 Score': 13}, {'Map': 'Breeze', 'Team 1 Score': 11, 'Team 2 Score': 13}]","[4, 4]","[1, 7]","[None, None]","[8, 8]","[5, 5]","[None, None]","[2552, 3185]"
Champions Tour 2024: Masters Madrid,Team Heretics,Paper Rex,2024-03-17 13:20:00,Bo3,"[{'Team': 'PRX', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'TH', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'PRX', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'TH', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'PRX', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'TH', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Split'}]","[{'Map': 'Sunset', 'Team 1 Score': 10, 'Team 2 Score': 13}, {'Map': 'Lotus', 'Team 1 Score': 13, 'Team 2 Score': 10}, {'Map': 'Split', 'Team 1 Score': 7, 'Team 2 Score': 13}]","[4, 6, 1]","[6, 7, 6]","[None, None, None]","[7, 5, 7]","[6, 5, 6]","[None, None, None]","[3571, 2816, 2377]"
Champions Tour 2024: Masters Madrid,LOUD,EDward Gaming,2024-03-18 11:00:00,Bo3,"[{'Team': 'EDG', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'LOUD', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'EDG', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': 'LOUD', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'EDG', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'LOUD', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Breeze'}]","[{'Map': 'Icebox', 'Team 1 Score': 13, 'Team 2 Score': 2}, {'Map': 'Sunset', 'Team 1 Score': 13, 'Team 2 Score': 3}]","[11, 4]","[2, 9]","[None, None]","[1, 0]","[1, 3]","[None, None]","[2622, 2121]"
Champions Tour 2024: Masters Madrid,Karmine Corp,Paper Rex,2024-03-18 12:55:00,Bo3,"[{'Team': 'PRX', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'KC', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'PRX', 'Action': 'pick', 'Map': 'Bind'}, {'Team': 'KC', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'PRX', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'KC', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Ascent'}]","[{'Map': 'Bind', 'Team 1 Score': 10, 'Team 2 Score': 13}, {'Map': 'Lotus', 'Team 1 Score': 13, 'Team 2 Score': 6}, {'Map': 'Ascent', 'Team 1 Score': 12, 'Team 2 Score': 14}]","[6, 5, 5]","[4, 8, 7]","[None, None, 0]","[5, 2, 7]","[8, 4, 5]","[None, None, 2]","[3589, 2576, 3221]"
Champions Tour 2024: Masters Madrid,Gen.G,Paper Rex,2024-03-21 11:00:00,Bo3,"[{'Team': 'PRX', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'GEN', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'PRX', 'Action': 'pick', 'Map': 'Split'}, {'Team': 'GEN', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'PRX', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'GEN', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Ascent'}]","[{'Map': 'Split', 'Team 1 Score': 13, 'Team 2 Score': 8}, {'Map': 'Lotus', 'Team 1 Score': 13, 'Team 2 Score': 9}]","[8, 5]","[5, 8]","[None, None]","[4, 5]","[4, 4]","[None, None]","[3337, 2562]"
Champions Tour 2024: Masters Madrid,Sentinels,LOUD,2024-03-21 13:10:00,Bo3,"[{'Team': 'SEN', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'LOUD', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'SEN', 'Action': 'pick', 'Map': 'Split'}, {'Team': 'LOUD', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': 'SEN', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'LOUD', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Sunset'}]","[{'Map': 'Split', 'Team 1 Score': 13, 'Team 2 Score': 4}, {'Map': 'Icebox', 'Team 1 Score': 12, 'Team 2 Score': 14}, {'Map': 'Sunset', 'Team 1 Score': 14, 'Team 2 Score': 12}]","[9, 5, 7]","[4, 7, 5]","[None, 0, 2]","[3, 7, 5]","[1, 5, 7]","[None, 2, 0]","[2914, 3575, 3755]"
Champions Tour 2024: Masters Madrid,Gen.G,Sentinels,2024-03-22 11:00:00,Bo3,"[{'Team': 'SEN', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'GEN', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'SEN', 'Action': 'pick', 'Map': 'Split'}, {'Team': 'GEN', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'SEN', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'GEN', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Breeze'}]","[{'Map': 'Split', 'Team 1 Score': 13, 'Team 2 Score': 5}, {'Map': 'Lotus', 'Team 1 Score': 7, 'Team 2 Score': 13}, {'Map': 'Breeze', 'Team 1 Score': 13, 'Team 2 Score': 3}]","[8, 2, 4]","[5, 5, 9]","[None, None, None]","[4, 6, 0]","[1, 7, 3]","[None, None, None]","[3219, 2929, 2044]"
Champions Tour 2024: Masters Madrid,Paper Rex,LOUD,2024-03-22 13:55:00,Bo3,"[{'Team': 'LOUD', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'PRX', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'LOUD', 'Action': 'pick', 'Map': 'Ascent'}, {'Team': 'PRX', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'LOUD', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'PRX', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Bind'}]","[{'Map': 'Ascent', 'Team 1 Score': 13, 'Team 2 Score': 11}, {'Map': 'Sunset', 'Team 1 Score': 13, 'Team 2 Score': 8}]","[6, 6]","[7, 7]","[None, None]","[6, 3]","[5, 5]","[None, None]","[3658, 2769]"
Champions Tour 2024: Masters Madrid,Sentinels,Paper Rex,2024-03-23 11:00:00,Bo5,"[{'Team': 'SEN', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'PRX', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'SEN', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'PRX', 'Action': 'pick', 'Map': 'Ascent'}, {'Team': 'SEN', 'Action': 'pick', 'Map': 'Split'}, {'Team': 'PRX', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Bind'}]","[{'Map': 'Lotus', 'Team 1 Score': 14, 'Team 2 Score': 12}, {'Map': 'Ascent', 'Team 1 Score': 13, 'Team 2 Score': 6}, {'Map': 'Split', 'Team 1 Score': 5, 'Team 2 Score': 13}, {'Map': 'Sunset', 'Team 1 Score': 13, 'Team 2 Score': 3}]","[6, 7, 4, 4]","[6, 6, 1, 9]","[2, None, None, None]","[6, 0, 8, 0]","[6, 6, 5, 3]","[0, None, None, None]","[4347, 2471, 2293, 2036]"
Champions Tour 2024: Masters Madrid,Gen.G,Sentinels,2024-03-24 12:15:00,Bo5,"[{'Team': 'GEN', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'GEN', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'GEN', 'Action': 'pick', 'Map': 'Breeze'}, {'Team': 'SEN', 'Action': 'pick', 'Map': 'Bind'}, {'Team': 'GEN', 'Action': 'pick', 'Map': 'Ascent'}, {'Team': 'SEN', 'Action': 'pick', 'Map': 'Split'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Icebox'}]","[{'Map': 'Breeze', 'Team 1 Score': 13, 'Team 2 Score': 8}, {'Map': 'Bind', 'Team 1 Score': 12, 'Team 2 Score': 14}, {'Map': 'Ascent', 'Team 1 Score': 13, 'Team 2 Score': 8}, {'Map': 'Split', 'Team 1 Score': 10, 'Team 2 Score': 13}, {'Map': 'Icebox', 'Team 1 Score': 6, 'Team 2 Score': 13}]","[7, 6, 6, 4, 5]","[6, 6, 7, 6, 1]","[None, 0, None, None, None]","[5, 6, 6, 8, 7]","[3, 6, 2, 5, 6]","[None, 2, None, None, None]","[3792, 3856, 2785, 2991, 2525]"
Champions Tour 2024: Americas Kickoff,NRG Esports,FURIA,2024-02-16 17:00:00,Bo3,"[{'Team': 'FUR', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'NRG', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'FUR', 'Action': 'pick', 'Map': 'Breeze'}, {'Team': 'NRG', 'Action': 'pick', 'Map': 'Ascent'}, {'Team': 'FUR', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'NRG', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Split'}]","[{'Map': 'Breeze', 'Team 1 Score': 13, 'Team 2 Score': 10}, {'Map': 'Ascent', 'Team 1 Score': 13, 'Team 2 Score': 8}]","[5, 6]","[8, 7]","[None, None]","[6, 6]","[4, 2]","[None, None]","[3308, 2894]"
