Match ID,Date,Team 1,Team 2,Map Name,Team 1 Attack Rounds,Team 1 Defense Rounds,Team 2 Attack Rounds,Team 2 Defense Rounds,Overtime,Score Difference
167,2024-05-11 05:00:00,EDward Gaming,Dragon Ranger Gaming,Breeze,8,5,6,4,False,3
167,2024-05-11 05:00:00,EDward Gaming,Dragon Ranger Gaming,Split,3,10,2,1,False,10
167,2024-05-11 05:00:00,EDward Gaming,Dragon Ranger Gaming,Ascent,2,0,3,10,False,-11
167,2024-05-11 05:00:00,EDward Gaming,Dragon Ranger Gaming,Bind,7,6,1,5,False,7
168,2024-05-12 05:00:00,FunPlus Phoenix,EDward Gaming,Lotus,4,9,3,3,False,7
168,2024-05-12 05:00:00,FunPlus Phoenix,EDward Gaming,Bind,7,2,8,5,False,-4
168,2024-05-12 05:00:00,FunPlus Phoenix,EDward Gaming,Icebox,8,4,8,4,True,-2
168,2024-05-12 05:00:00,FunPlus Phoenix,EDward Gaming,Breeze,3,5,7,6,False,-5
169,2024-04-06 04:00:00,Global Esports,ZETA DIVISION,Sunset,1,0,2,11,False,-12
169,2024-04-06 04:00:00,Global Esports,ZETA DIVISION,Icebox,5,8,4,6,False,3
169,2024-04-06 04:00:00,Global Esports,ZETA DIVISION,Ascent,6,2,7,6,False,-5
170,2024-04-06 07:00:00,Team Secret,DRX,Sunset,5,3,9,4,False,-5
170,2024-04-06 07:00:00,Team Secret,DRX,Lotus,5,3,6,7,False,-5
171,2024-04-07 04:00:00,BLEED,Talon Esports,Lotus,7,6,4,5,False,4
171,2024-04-07 04:00:00,BLEED,Talon Esports,Bind,2,5,7,6,False,-6
171,2024-04-07 04:00:00,BLEED,Talon Esports,Icebox,4,2,10,3,False,-7
172,2024-04-07 07:15:00,T1,Paper Rex,Lotus,2,8,4,9,False,-3
172,2024-04-07 07:15:00,T1,Paper Rex,Bind,6,6,6,6,True,-2
173,2024-04-08 04:00:00,Team Secret,Rex Regum Qeon,Breeze,7,3,9,4,False,-3
173,2024-04-08 04:00:00,Team Secret,Rex Regum Qeon,Split,6,7,0,6,False,7
173,2024-04-08 04:00:00,Team Secret,Rex Regum Qeon,Icebox,5,7,5,7,True,-2
174,2024-04-08 07:20:00,Global Esports,DRX,Ascent,5,3,9,4,False,-5
174,2024-04-08 07:20:00,Global Esports,DRX,Lotus,3,3,4,9,False,-7
175,2024-04-09 04:00:00,Gen.G,Talon Esports,Lotus,4,9,3,6,False,4
175,2024-04-09 04:00:00,Gen.G,Talon Esports,Ascent,3,10,2,6,False,5
176,2024-04-09 06:10:00,T1,DetonatioN FocusMe,Ascent,3,7,5,8,False,-3
176,2024-04-09 06:10:00,T1,DetonatioN FocusMe,Lotus,4,9,3,2,False,8
176,2024-04-09 06:10:00,T1,DetonatioN FocusMe,Sunset,6,5,7,6,False,-2
177,2024-04-13 04:00:00,Gen.G,Paper Rex,Lotus,9,4,8,3,False,2
177,2024-04-13 04:00:00,Gen.G,Paper Rex,Icebox,3,8,4,9,False,-2
177,2024-04-13 04:00:00,Gen.G,Paper Rex,Bind,2,4,3,10,False,-7
178,2024-04-13 07:10:00,T1,DRX,Breeze,8,5,7,2,False,4
178,2024-04-13 07:10:00,T1,DRX,Split,2,3,3,10,False,-8
178,2024-04-13 07:10:00,T1,DRX,Bind,3,3,4,9,False,-7
179,2024-04-14 04:00:00,Team Secret,ZETA DIVISION,Icebox,6,7,5,3,False,5
179,2024-04-14 04:00:00,Team Secret,ZETA DIVISION,Lotus,5,1,6,7,False,-7
179,2024-04-14 04:00:00,Team Secret,ZETA DIVISION,Sunset,9,4,4,3,False,6
180,2024-04-14 07:00:00,BLEED,Rex Regum Qeon,Lotus,0,2,10,3,False,-11
180,2024-04-14 07:00:00,BLEED,Rex Regum Qeon,Icebox,4,1,5,8,False,-8
181,2024-04-15 04:00:00,Gen.G,DetonatioN FocusMe,Split,7,6,6,2,False,5
181,2024-04-15 04:00:00,Gen.G,DetonatioN FocusMe,Lotus,7,6,6,1,False,6
182,2024-04-15 06:10:00,Global Esports,Talon Esports,Icebox,9,4,1,3,False,9
182,2024-04-15 06:10:00,Global Esports,Talon Esports,Breeze,6,6,6,6,True,-2
182,2024-04-15 06:10:00,Global Esports,Talon Esports,Lotus,1,5,7,6,False,-7
183,2024-04-16 04:00:00,T1,Rex Regum Qeon,Ascent,7,6,6,0,False,7
183,2024-04-16 04:00:00,T1,Rex Regum Qeon,Lotus,7,6,6,2,False,5
