Match ID,Event,Team 1,Team 2,Date,Match Format,Maps Picked/Banned,Total Maps Played,Winner
181,Champions Tour 2024: Pacific Stage 1,Gen.G,DetonatioN FocusMe,2024-04-15 04:00:00,Bo3,"[{'Team': 'DFM', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'GEN', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'DFM', 'Action': 'pick', 'Map': 'Split'}, {'Team': 'GEN', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'DFM', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'GEN', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Breeze'}]",2,Gen.G
182,Champions Tour 2024: Pacific Stage 1,Global Esports,Talon Esports,2024-04-15 06:10:00,Bo3,"[{'Team': 'TLN', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'GE', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'TLN', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': 'GE', 'Action': 'pick', 'Map': 'Breeze'}, {'Team': 'TLN', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'GE', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Lotus'}]",3,Talon Esports
183,Champions Tour 2024: Pacific Stage 1,T1,Rex Regum Qeon,2024-04-16 04:00:00,Bo3,"[{'Team': 'RRQ', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'T1', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'RRQ', 'Action': 'pick', 'Map': 'Ascent'}, {'Team': 'T1', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'RRQ', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'T1', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Breeze'}]",2,T1
184,Champions Tour 2024: Pacific Stage 1,BLEED,ZETA DIVISION,2024-04-16 06:00:00,Bo3,"[{'Team': 'BLD', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'ZETA', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'BLD', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'ZETA', 'Action': 'pick', 'Map': 'Ascent'}, {'Team': 'BLD', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'ZETA', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Lotus'}]",3,ZETA DIVISION
185,Champions Tour 2024: Pacific Stage 1,Gen.G,DRX,2024-04-20 04:00:00,Bo3,"[{'Team': 'DRX', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'GEN', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'DRX', 'Action': 'pick', 'Map': 'Bind'}, {'Team': 'GEN', 'Action': 'pick', 'Map': 'Ascent'}, {'Team': 'DRX', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'GEN', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Split'}]",3,DRX
186,Champions Tour 2024: Pacific Stage 1,BLEED,DetonatioN FocusMe,2024-04-20 07:15:00,Bo3,"[{'Team': 'BLD', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'DFM', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'BLD', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'DFM', 'Action': 'pick', 'Map': 'Split'}, {'Team': 'BLD', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'DFM', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Ascent'}]",3,BLEED
187,Champions Tour 2024: Pacific Stage 1,Global Esports,Rex Regum Qeon,2024-04-21 04:00:00,Bo3,"[{'Team': 'RRQ', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'GE', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'RRQ', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'GE', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': 'RRQ', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'GE', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Ascent'}]",2,Global Esports
188,Champions Tour 2024: Pacific Stage 1,Team Secret,Paper Rex,2024-04-21 07:00:00,Bo3,"[{'Team': 'TS', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'PRX', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'TS', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': 'PRX', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'TS', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'PRX', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Split'}]",2,Team Secret
189,Champions Tour 2024: Pacific Stage 1,T1,Talon Esports,2024-04-22 04:00:00,Bo3,"[{'Team': 'T1', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'TLN', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'T1', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'TLN', 'Action': 'pick', 'Map': 'Bind'}, {'Team': 'T1', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'TLN', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Ascent'}]",2,Talon Esports
190,Champions Tour 2024: Pacific Stage 1,Gen.G,ZETA DIVISION,2024-04-22 06:15:00,Bo3,"[{'Team': 'ZETA', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'GEN', 'Action': 'ban', 'Map': 'Sunset'}, {'Team': 'ZETA', 'Action': 'pick', 'Map': 'Split'}, {'Team': 'GEN', 'Action': 'pick', 'Map': 'Ascent'}, {'Team': 'ZETA', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'GEN', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Lotus'}]",2,Gen.G
191,Champions Tour 2024: Pacific Stage 1,Team Secret,DetonatioN FocusMe,2024-04-23 04:00:00,Bo3,"[{'Team': 'DFM', 'Action': 'ban', 'Map': 'Icebox'}, {'Team': 'TS', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'DFM', 'Action': 'pick', 'Map': 'Lotus'}, {'Team': 'TS', 'Action': 'pick', 'Map': 'Breeze'}, {'Team': 'DFM', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'TS', 'Action': 'ban', 'Map': 'Split'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Sunset'}]",3,Team Secret
192,Champions Tour 2024: Pacific Stage 1,Global Esports,Paper Rex,2024-04-23 06:50:00,Bo3,"[{'Team': 'PRX', 'Action': 'ban', 'Map': 'Breeze'}, {'Team': 'GE', 'Action': 'ban', 'Map': 'Bind'}, {'Team': 'PRX', 'Action': 'pick', 'Map': 'Sunset'}, {'Team': 'GE', 'Action': 'pick', 'Map': 'Icebox'}, {'Team': 'PRX', 'Action': 'ban', 'Map': 'Ascent'}, {'Team': 'GE', 'Action': 'ban', 'Map': 'Lotus'}, {'Team': 'N/A', 'Action': 'remains', 'Map': 'Split'}]",2,Paper Rex
